Deal ID,Stage,Lead Source,Created Time
zcrm_5071505000003635045,Process Lost,Cold outreach (Linkedin),2022-04-07 13:11:52
zcrm_5071505000003673021,Process Lost,outreach in Linkedin,2022-04-08 14:07:45
zcrm_5071505000003673051,Closure Process,outreach in Linkedin,2022-04-08 14:11:56
zcrm_5071505000003684001,Process Lost,outreach in Linkedin,2022-04-08 17:19:39
zcrm_5071505000003684031,Process Lost,outreach in Linkedin,2022-04-08 17:25:58
zcrm_5071505000003691099,Closure Process,deal from an existing client,2022-04-11 12:48:04
zcrm_5071505000003737023,Process Lost,outreach in Linkedin,2022-04-11 13:59:35
zcrm_5071505000003792095,Process Lost,outreach in Linkedin,2022-04-12 14:24:20
zcrm_5071505000003847023,Process Lost,outreach in Linkedin,2022-04-13 03:55:02
zcrm_5071505000003894021,Closure Process,outreach in Linkedin,2022-04-14 01:36:16
zcrm_5071505000003921012,Closure Process,outreach in Linkedin,2022-04-14 14:12:14
zcrm_5071505000003921039,Process Lost,outreach in Linkedin,2022-04-14 14:35:23
zcrm_5071505000003939001,Process Lost,outreach in Linkedin,2022-04-15 00:49:26
zcrm_5071505000003994019,Process Lost,outreach in Linkedin,2022-04-18 11:47:47
zcrm_5071505000003994061,Process Lost,outreach in Linkedin,2022-04-18 12:03:28
zcrm_5071505000003994092,Process Lost,Linkedin Kristina,2022-04-18 12:06:16
zcrm_5071505000003994167,Process Lost,outreach in Linkedin,2022-04-18 12:10:06
zcrm_5071505000004152057,Closure Process,deal from an existing client,2022-04-20 11:45:33
zcrm_5071505000004252003,Process Lost,outreach in Linkedin,2022-04-22 14:50:04
zcrm_5071505000004297040,Process Lost,outreach in Linkedin,2022-04-25 12:10:37
zcrm_5071505000004464001,Process Lost,Linkedin Nastya,2022-04-27 03:55:14
zcrm_5071505000004464050,Process Lost,Linkedin Nastya,2022-04-27 04:19:50
zcrm_5071505000004537089,Process Lost,,2022-04-28 13:49:06
zcrm_5071505000004554028,Process Lost,Linkedin Nastya,2022-04-29 02:51:48
zcrm_5071505000004612007,Process Lost,Linkedin Kristina,2022-04-29 16:46:37
zcrm_5071505000004669035,Process Lost,Linkedin Nastya,2022-05-02 13:14:41
zcrm_5071505000004669128,Process Lost,Linkedin Nastya,2022-05-02 15:55:11
zcrm_5071505000004708027,Process Lost,Linkedin Nastya,2022-05-03 14:09:24
zcrm_5071505000004708083,Process Lost,Linkedin Nastya,2022-05-03 14:20:21
zcrm_5071505000004747013,Closure Process,deal from an existing client,2022-05-04 16:46:09
zcrm_5071505000005138078,Process Lost,,2022-05-12 13:25:16
zcrm_5071505000005138139,Process Lost,,2022-05-12 13:45:53
zcrm_5071505000005143001,Process Lost,Linkedin Nastya,2022-05-12 13:26:46
zcrm_5071505000005199007,Process Lost,Linkedin Kristina,2022-05-13 12:54:01
zcrm_5071505000005270019,Closure Process,landing,2022-05-16 11:30:59
zcrm_5071505000005270053,Process Lost,,2022-05-16 11:33:03
zcrm_5071505000005355126,Closure Process,deal from an existing client,2022-05-17 12:22:37
zcrm_5071505000005387008,Process Lost,landing,2022-05-17 17:57:40
zcrm_5071505000005387063,Process Lost,Linkedin Kristina,2022-05-17 18:40:50
zcrm_5071505000005447007,Proposal Made,Linkedin Nastya,2022-05-18 12:52:17
zcrm_5071505000005447059,Process Lost,Linkedin Aitosha,2022-05-18 12:54:39
zcrm_5071505000005447107,Process Lost,referral from our client,2022-05-18 13:00:49
zcrm_5071505000005463019,Process Lost,Linkedin Aitosha,2022-05-18 14:46:45
zcrm_5071505000005505123,Process Lost,Linkedin Nastya,2022-05-19 10:48:33
zcrm_5071505000005505156,Closure Process,Linkedin Aitosha,2022-05-19 10:54:37
zcrm_5071505000005626011,Closure Process,deal from an existing client,2022-05-20 13:49:18
zcrm_5071505000005626030,Process Lost,Linkedin Aitosha,2022-05-20 18:22:13
